"Reference","Qty","Value","Value2","Note","Description","Datasheet","Manufacturer","ManufacturerPartNum","Distributor","DistributorPartNum","DistributorPartLink","Distributor2","DistributorPartNum2","DistributorPartLink2","Distributor3","DistributorPartNum3","DistributorPartLink3"
"R2 R4","2","33K","0.1%, 0.1W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFP_1-1947926.pdf","YAGEO","MFP-25BRD52-33K","Mouser","603-MFP-25BRD52-33K","https://www.mouser.ca/ProductDetail/YAGEO/MFP-25BRD52-33K?qs=wcZjbqjoJeglQC7yt5ggnA%3D%3D","","","","","",""
"R3 R5 R6 R7","4","120K","0.1%, 0.1W","Use 1 x 240K (0.1%) in place of 2 x 120K if available","Resistor","https://www.vishay.com/docs/31027/cmfmil.pdf","Vishay","RN55E1203BRE6","Mouser","71-RN55E1203BTR","https://www.mouser.ca/ProductDetail/Vishay-Dale/RN55E1203BRE6?qs=%2FtbKA%252B9EriDenPWbNFO2eA%3D%3D","","","","","",""
"R8 R20 R26","3","100K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FRF52-100K","Mouser","603-MFR-12FRF52100K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FRF52-100K?qs=19cKSROHwrAZsaNp2yj6EQ%3D%3D","","","","","",""
"R9","1","33K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-33K","Mouser","603-MFR-12FTF52-33K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-33K?qs=oAGoVhmvjhwEbngQR0rfoQ%3D%3D","","","","","",""
"R10 R11","2","160K","0.1%, 0.1W","","Resistor","https://www.vishay.com/docs/31027/cmfmil.pdf","Vishay","RN55C1603BRE6","Mouser","71-RN55C1603BTR","https://www.mouser.ca/ProductDetail/Vishay-Dale/RN55C1603BRE6?qs=F7UM01vn%252BgPuoQxB287Mtg%3D%3D","","","","","",""
"R12 R13","2","22K","0.1%, 0.1W","","Resistor","https://www.vishay.com/docs/31027/cmfmil.pdf","Vishay","RN55C2202BRE6","Mouser","71-RN55C2202BTR","https://www.mouser.ca/ProductDetail/Vishay-Dale/RN55C2202BRE6?qs=hyU79xNWhW1PD%252BZ%252BPS2bwA%3D%3D","","","","","",""
"R14 R17","2","130K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-130K","Mouser","603-MFR-12FTF52-130K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-130K?qs=oAGoVhmvjhwGhRGh%2FUMCLQ%3D%3D","","","","","",""
"R15 R16","2","20K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-20K","Mouser","603-MFR-12FTF52-20K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-20K?qs=oAGoVhmvjhx30ELEgu5Hag%3D%3D","","","","","",""
"R18 R24","2","36K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-36K","Mouser","603-MFR-12FTF52-36K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-36K?qs=oAGoVhmvjhyIq6EO5blb%252BQ%3D%3D","","","","","",""
"R19 R25","2","100K","0.1%, 0.1W","","Resistor","https://www.vishay.com/docs/31027/cmfmil.pdf","Vishay","RN55C1003BRE6","Mouser","71-RN55C-B-100K/R","https://www.mouser.ca/ProductDetail/Vishay-Dale/RN55C1003BRE6?qs=t6F1uLNKm5H%2FV%2FsNi0%252BkXQ%3D%3D","","","","","",""
"R21 R27","2","200K","0.1%, 0.1W","","Resistor","https://www.mouser.ca/datasheet/2/447/yago_s_a0000107546_1-2286378.pdf","YAGEO","MFP-25BRD52-200K","Mouser","603-MFP-25BRD52-200K","https://www.mouser.ca/ProductDetail/YAGEO/MFP-25BRD52-200K?qs=i6Zrxxj4WsPiDiIa6%252BsVcg%3D%3D","","","","","",""
"R22 R23 R28 R29","4","51R","1%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FBF52-51R","Mouser","603-MFR-25FBF52-51R","https://www.mouser.ca/ProductDetail/?qs=oAGoVhmvjhzVx2bdEH1TLQ%3D%3D","","","","","",""
"RV1","1","100K","LIN","","Potentiometer","https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf","Alpha","RD901F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","Mouser","311-1940F-*","https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical","SynthCube","9MMALPHAPOTMSTR","https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft"
"SW1","1","C&K_D6R","","","Push button switch, C&K D6R series","https://www.mouser.ca/datasheet/2/60/d6-1382571.pdf","C&K","D6R60F1LFS","Mouser","611-D6R60F1LFS","https://www.mouser.ca/ProductDetail/CK/D6R60F1LFS?qs=sb%252But3Lm4x0VR1WI58%252Bz2w%3D%3D","","","","","",""
"SW2","1","PEC11R","","","Rotary encoder, incremental quadrate outputs, with switch","https://www.mouser.ca/datasheet/2/54/PEC11R-777457.pdf","Bourns","PEC11R-4220F-S0024","Mouser","652-PEC11R-4220F-S24","https://www.mouser.ca/ProductDetail/Bourns/PEC11R-4220F-S0024?qs=Zq5ylnUbLm6NGsQdib%2Ffbw%3D%3D","","","","","",""
"U1","1","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","","","","",""
"U2 U3","2","TL072","","","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","https://www.ti.com/lit/ds/symlink/tl072b.pdf?ts=1628812694194","Texas Instruments","TL072BCP","Mouser","595-TL072BCP","https://www.mouser.ca/ProductDetail/Texas-Instruments/TL072BCP?qs=p6YqzpSxLIxmo8AyZLsP4g%3D%3D","","","","","",""
"U4","1","TL071","","","Single Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL071BCP","Digi-Key","296-34258-5-ND","https://www.digikey.ca/en/products/detail/texas-instruments/TL071BCP/1674458","Mouser","595-TL071IPE4","https://www.mouser.ca/ProductDetail/Texas-Instruments/TL071IPE4?qs=odmYgEirbwzwe%252BIRDerVMA%3D%3D","","",""
